timestamp,smoke,voc,co,flame,temp,hum,label,scenario,filename,humid
3299431,98,507,236,0,22.44,56.26,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3299531,96,508,234,1,22.42,56.25,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3299631,97,507,234,0,22.43,56.29,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3299731,98,507,236,0,22.42,56.26,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3299831,96,508,234,0,22.42,56.26,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3299931,96,507,235,2,22.42,56.27,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3300031,96,507,234,0,22.42,56.28,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3300131,98,508,234,0,22.42,56.26,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3300231,98,507,236,2,22.42,56.25,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3300331,95,508,236,2,22.43,56.26,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3300431,96,508,236,0,22.43,56.26,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3300531,97,507,235,0,22.42,56.28,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3300631,96,507,235,2,22.42,56.28,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3300731,98,508,235,0,22.41,56.27,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3300831,95,507,236,2,22.41,56.28,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3300931,98,507,234,1,22.42,56.3,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3301031,97,507,236,1,22.41,56.26,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3301131,97,507,235,0,22.41,56.28,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3301231,98,507,236,0,22.41,56.27,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
